category,kind,rows,bytes,path
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-13_16-10-19/run.log
hda_rl,jsonl_rows,3,10017,tsce_agent_demo/results/2025-12-13_16-10-23/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-13_16-48-16/run.log
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2026-02-07_16-44-03/run.log
run_logs,text_artifact_lines,2,200,tsce_agent_demo/results/2026-04-21_12-33-25/run.log
run_logs,text_artifact_lines,1,100,tsce_agent_demo/results/2026-04-24_13-03-57/run.log
anchor_mining_10k_generation,jsonl_rows,625,329756,tsce_agent_demo/results/anchor_mining_10k_azure/base_prompts.jsonl
anchor_mining_10k_generation,jsonl_rows,2500,2767460,tsce_agent_demo/results/anchor_mining_10k_azure/expanded_prompts.jsonl
anchor_mining_10k_generation,json_summary,0,628,tsce_agent_demo/results/anchor_mining_10k_azure/manifest.json
anchor_mining_10k_generation,jsonl_rows,10000,41614404,tsce_agent_demo/results/anchor_mining_10k_azure/openai_batch_output.jsonl
anchor_mining_10k_generation,jsonl_rows,10000,20454252,tsce_agent_demo/results/anchor_mining_10k_azure/openai_batch_requests.jsonl
anchor_mining_10k_parsed,json_summary,0,124,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/family_summary.json
anchor_mining_10k_parsed,json_summary,0,122,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/invalid_reason_counts.json
anchor_mining_10k_parsed,json_summary,0,2111,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/kind_summary.json
anchor_mining_10k_parsed,jsonl_rows,10000,40961139,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/parsed_rows.jsonl
anchor_mining_10k_parsed,jsonl_rows,1024,4204123,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/shortlist.jsonl
anchor_mining_10k_parsed,json_summary,0,2964,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/summary.json
anchor_mining_10k_parsed,jsonl_rows,2048,8425240,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/top_scored.jsonl
anchor_mining_10k_parsed,jsonl_rows,1024,4148836,tsce_agent_demo/results/anchor_mining_10k_azure/parsed/training_candidates.jsonl
anchor_mining_10k_generation,jsonl_rows,10000,11829840,tsce_agent_demo/results/anchor_mining_10k_azure/request_index.jsonl
anchor_mining_10k_reranker,jsonl_rows,10000,41589575,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/all_scores.jsonl
anchor_mining_10k_reranker,binary_or_nonrow_artifact,0,506004,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/anchor_reranker.pkl
anchor_mining_10k_reranker,jsonl_rows,2000,2124530,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/holdout_predictions.jsonl
anchor_mining_10k_reranker,jsonl_rows,1024,4241602,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/reranked_shortlist.jsonl
anchor_mining_10k_reranker,jsonl_rows,1024,4186215,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/reranked_training_candidates.jsonl
anchor_mining_10k_reranker,json_summary,0,2442,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/summary.json
anchor_mining_10k_reranker,json_array_records,40,4690,tsce_agent_demo/results/anchor_mining_10k_azure/reranker/top_feature_weights.json
anchor_mining_smoke,jsonl_rows,32,17281,tsce_agent_demo/results/anchor_mining_azure_smoke/base_prompts.jsonl
anchor_mining_smoke,jsonl_rows,128,145069,tsce_agent_demo/results/anchor_mining_azure_smoke/expanded_prompts.jsonl
anchor_mining_smoke,json_summary,0,624,tsce_agent_demo/results/anchor_mining_azure_smoke/manifest.json
anchor_mining_smoke,jsonl_rows,256,496243,tsce_agent_demo/results/anchor_mining_azure_smoke/openai_batch_output.jsonl
anchor_mining_smoke,jsonl_rows,32,132772,tsce_agent_demo/results/anchor_mining_azure_smoke/openai_batch_output_localrepair_livecheck.jsonl
anchor_mining_smoke,jsonl_rows,256,1445854,tsce_agent_demo/results/anchor_mining_azure_smoke/openai_batch_output_repair.jsonl
anchor_mining_smoke,jsonl_rows,256,527214,tsce_agent_demo/results/anchor_mining_azure_smoke/openai_batch_requests.jsonl
anchor_mining_smoke,json_summary,0,127,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/family_summary.json
anchor_mining_smoke,json_summary,0,355,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/invalid_reason_counts.json
anchor_mining_smoke,json_summary,0,1897,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/kind_summary.json
anchor_mining_smoke,jsonl_rows,256,955239,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/parsed_rows.jsonl
anchor_mining_smoke,jsonl_rows,0,0,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/shortlist.jsonl
anchor_mining_smoke,json_summary,0,2984,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/summary.json
anchor_mining_smoke,jsonl_rows,128,472149,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/top_scored.jsonl
anchor_mining_smoke,jsonl_rows,0,0,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed/training_candidates.jsonl
anchor_mining_smoke,json_summary,0,131,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/family_summary.json
anchor_mining_smoke,json_summary,0,112,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/invalid_reason_counts.json
anchor_mining_smoke,json_summary,0,1884,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/kind_summary.json
anchor_mining_smoke,jsonl_rows,256,1035885,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/parsed_rows.jsonl
anchor_mining_smoke,jsonl_rows,64,263504,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/shortlist.jsonl
anchor_mining_smoke,json_summary,0,2725,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/summary.json
anchor_mining_smoke,jsonl_rows,128,528184,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/top_scored.jsonl
anchor_mining_smoke,jsonl_rows,64,258942,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_original/training_candidates.jsonl
anchor_mining_smoke,json_summary,0,130,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/family_summary.json
anchor_mining_smoke,json_summary,0,136,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/invalid_reason_counts.json
anchor_mining_smoke,json_summary,0,1892,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/kind_summary.json
anchor_mining_smoke,jsonl_rows,256,1047551,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/parsed_rows.jsonl
anchor_mining_smoke,jsonl_rows,64,267110,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/shortlist.jsonl
anchor_mining_smoke,json_summary,0,2773,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/summary.json
anchor_mining_smoke,jsonl_rows,128,534662,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/top_scored.jsonl
anchor_mining_smoke,jsonl_rows,64,258648,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_local_repair_from_repair_run/training_candidates.jsonl
anchor_mining_smoke,json_summary,0,127,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/family_summary.json
anchor_mining_smoke,json_summary,0,282,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/invalid_reason_counts.json
anchor_mining_smoke,json_summary,0,1898,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/kind_summary.json
anchor_mining_smoke,jsonl_rows,256,987790,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/parsed_rows.jsonl
anchor_mining_smoke,jsonl_rows,0,0,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/shortlist.jsonl
anchor_mining_smoke,json_summary,0,2921,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/summary.json
anchor_mining_smoke,jsonl_rows,128,484085,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/top_scored.jsonl
anchor_mining_smoke,jsonl_rows,0,0,tsce_agent_demo/results/anchor_mining_azure_smoke/parsed_repair/training_candidates.jsonl
anchor_mining_smoke,jsonl_rows,256,309594,tsce_agent_demo/results/anchor_mining_azure_smoke/request_index.jsonl
anchor_mining_smoke,json_summary,0,210,tsce_agent_demo/results/anchor_mining_azure_smoke/uploaded_input_file.json
verification_logs,json_summary,0,14507,tsce_agent_demo/results/anchor_verification_cpu.json
api_candidate_generation,jsonl_rows,72,254017,tsce_agent_demo/results/api_anchor_candidates_formatting_train_allfam_3x_20260423.jsonl
api_candidate_generation,jsonl_rows,48,176215,tsce_agent_demo/results/api_anchor_candidates_math_train_allfam_2x_20260423.jsonl
api_candidate_generation,jsonl_rows,6,21503,tsce_agent_demo/results/api_anchor_candidates_smoke_20260423.jsonl
api_candidate_generation,jsonl_rows,6,20327,tsce_agent_demo/results/api_anchor_candidates_smoke_20260423_v2.jsonl
small_evaluation_artifact,jsonl_rows,20,5150,tsce_agent_demo/results/compare_rl_vs_tsce.jsonl
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251020-163914/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251020-163953/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251020-175747/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251020-182244/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251020-183537/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251025-115148/run.log
run_logs,text_artifact_lines,2,198,tsce_agent_demo/results/eval_diffusion_20251025-130605/run.log
api_candidate_generation,jsonl_rows,96,392451,tsce_agent_demo/results/format_control_smoke_3axes_raw_candidates.jsonl
api_candidate_generation,jsonl_rows,48,202505,tsce_agent_demo/results/format_control_smoke_3axes_strict_raw_candidates_20260423.jsonl
api_candidate_generation,jsonl_rows,96,405284,tsce_agent_demo/results/format_control_smoke_3axes_v2_strict_raw_candidates_20260423.jsonl
api_candidate_generation,jsonl_rows,8,33358,tsce_agent_demo/results/format_control_smoke_prompt0003_keyboard_drift_raw_candidates_20260423.jsonl
gemma_compare,csv_rows,1,196,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/anchor_quality.csv
gemma_compare,json_summary,0,242,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/anchor_quality.json
gemma_compare,binary_or_nonrow_artifact,0,29763,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/attention_to_control.png
gemma_compare,json_summary,0,537,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/best_prompt_family.json
gemma_compare,binary_or_nonrow_artifact,0,2270833,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0001_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2268513,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0001_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2349652,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0001_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2267271,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0001_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2283190,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0001_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2281241,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0002_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2278210,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0002_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2353217,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0002_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2267854,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0002_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2277643,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0002_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2263878,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0003_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2297957,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0003_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2403448,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0003_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2319041,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0003_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2322702,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0003_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2337334,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0004_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2337208,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0004_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2387985,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0004_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2351511,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0004_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2383739,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0004_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2270073,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0005_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2272876,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0005_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2307592,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0005_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2265608,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0005_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2264603,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0005_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2263878,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0006_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2292415,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0006_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2325835,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0006_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2325922,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0006_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2321296,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/captures/prompt_0006_tsce_anchor_latent_bias.npz
gemma_compare,json_summary,0,93,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/claim_assessment.json
gemma_compare,json_summary,0,120,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/family_claims.json
gemma_compare,csv_rows,5,724,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/family_summary.csv
gemma_compare,json_summary,0,1403,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/family_summary.json
gemma_compare,jsonl_rows,30,356656,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/gemma_eval.jsonl
gemma_compare,binary_or_nonrow_artifact,0,54497,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/hidden_state_distance.png
gemma_compare,binary_or_nonrow_artifact,0,28976,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/logit_shift.png
gemma_compare,json_summary,0,241,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/manifest.json
gemma_compare,binary_or_nonrow_artifact,0,29963,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/mean_latency.png
gemma_compare,binary_or_nonrow_artifact,0,30346,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/pass_rates.png
gemma_compare,text_artifact_lines,22,1057,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/report.md
gemma_compare,csv_rows,5,643,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/summary.csv
gemma_compare,json_summary,0,1300,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/summary.json
gemma_compare,jsonl_rows,6,3119,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate/task_set.jsonl
gemma_compare,csv_rows,1,197,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/anchor_quality.csv
gemma_compare,json_summary,0,243,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/anchor_quality.json
gemma_compare,binary_or_nonrow_artifact,0,30641,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/attention_to_control.png
gemma_compare,json_summary,0,539,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/best_prompt_family.json
gemma_compare,binary_or_nonrow_artifact,0,2269553,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0001_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2258721,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0001_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2308431,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0001_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2269433,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0001_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2264945,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0001_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2281241,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0002_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2277900,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0002_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2359350,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0002_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2275535,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0002_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2290175,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0002_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2263878,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0003_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2287799,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0003_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2334508,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0003_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2318456,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0003_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2329312,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0003_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2337334,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0004_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2329792,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0004_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2411354,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0004_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2332768,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0004_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2338287,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0004_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2269589,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0005_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2262579,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0005_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2336050,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0005_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2269892,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0005_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2274366,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0005_tsce_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2263878,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0006_baseline.npz
gemma_compare,binary_or_nonrow_artifact,0,2291827,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0006_random_matched_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2353605,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0006_readable_control.npz
gemma_compare,binary_or_nonrow_artifact,0,2304461,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0006_shuffled_anchor_latent_bias.npz
gemma_compare,binary_or_nonrow_artifact,0,2297860,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/captures/prompt_0006_tsce_anchor_latent_bias.npz
gemma_compare,json_summary,0,93,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/claim_assessment.json
gemma_compare,json_summary,0,120,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/family_claims.json
gemma_compare,csv_rows,5,725,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/family_summary.csv
gemma_compare,json_summary,0,1404,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/family_summary.json
gemma_compare,jsonl_rows,30,366087,tsce_agent_demo/results/gemma_compare_auto6_e4b_latent_bias_validate_v2/gemma_eval.jsonl
